Context (X),Label (y)
my dear friends welcome to classes,0
dear friends welcome to classes on,0
friends welcome to classes on applied,0
welcome to classes on applied data,0
to classes on applied data science,0
classes on applied data science with,0
on applied data science with python,0
applied data science with python this,0
data science with python this is,0
science with python this is lecture,0
with python this is lecture number,0
python this is lecture number 362,0
this is lecture number 362 in,0
is lecture number 362 in this,0
lecture number 362 in this lecture,0
number 362 in this lecture we,0
362 in this lecture we will,0
in this lecture we will try,0
this lecture we will try to,0
lecture we will try to understand,0
we will try to understand gradient,0
will try to understand gradient descent,0
try to understand gradient descent algorithm,0
to understand gradient descent algorithm and,0
understand gradient descent algorithm and its,0
gradient descent algorithm and its geometric,0
descent algorithm and its geometric intuition,0
algorithm and its geometric intuition so,0
and its geometric intuition so when,0
its geometric intuition so when we,0
geometric intuition so when we learning,0
intuition so when we learning about,0
so when we learning about maxima,0
when we learning about maxima and,0
we learning about maxima and minima,0
learning about maxima and minima we,0
about maxima and minima we saw,0
maxima and minima we saw examples,0
and minima we saw examples where,0
minima we saw examples where solving,0
we saw examples where solving df,0
saw examples where solving df by,0
examples where solving df by dx,0
where solving df by dx =,0
solving df by dx = 0,1
df by dx = 0 isn't,0
by dx = 0 isn't it,0
dx = 0 isn't it this,0
= 0 isn't it this is,0
0 isn't it this is df,0
isn't it this is df by,0
it this is df by dx,0
this is df by dx =,0
is df by dx = 0,0
df by dx = 0 or,0
by dx = 0 or or,0
dx = 0 or or i,0
= 0 or or i can,0
0 or or i can say,0
or or i can say vector,0
or i can say vector sense,0
i can say vector sense in,0
can say vector sense in vector,0
say vector sense in vector sense,0
vector sense in vector sense i,0
sense in vector sense i can,0
in vector sense i can write,0
vector sense i can write it,0
sense i can write it as,0
i can write it as d,0
can write it as d f,0
write it as d f with,0
it as d f with respect,0
as d f with respect to,0
d f with respect to x,0
f with respect to x =,0
with respect to x = 0,0
respect to x = 0 solving,0
to x = 0 solving this,0
x = 0 solving this equation,0
= 0 solving this equation is,0
0 solving this equation is not,0
solving this equation is not straightforward,0
this equation is not straightforward solving,0
equation is not straightforward solving is,0
is not straightforward solving is difficult,1
not straightforward solving is difficult isn't,0
straightforward solving is difficult isn't it,0
solving is difficult isn't it finding,0
is difficult isn't it finding finding,0
difficult isn't it finding finding solution,0
isn't it finding finding solution for,0
it finding finding solution for this,0
finding finding solution for this this,0
finding solution for this this is,0
solution for this this is not,0
for this this is not straightforward,0
this this is not straightforward because,0
this is not straightforward because solving,0
is not straightforward because solving this,0
not straightforward because solving this equation,0
straightforward because solving this equation df,0
